Title,Facing,Floor,Bedroom,Bathroom,Location_area,Location_district,Price_in_cr,Land_area_aana,Price_per_aana,Road_access_ft,Built_year_bs,Has_parking,Amenity_count
House for sale,West,3.0,5,4,Imadol,Lalitpur,2.9,4.0,0.725,12.0,2076,1,3
House for sale,West,2.5,4,4,Imadol,Lalitpur,1.99,2.3,0.8652173913043479,10.0,2060,1,3
Bungalow for sale,North-West,2.5,4,3,Bhaisepati,Lalitpur,4.0,7.0,0.5714285714285714,12.0,2059,1,5
House for sale,North-West,2.5,4,3,Bhaisepati,Lalitpur,3.3,3.2,1.0312499999999998,13.0,2074,1,3
House for sale,North-East,2.5,5,4,Budhanilkantha,Kathmandu,4.0,4.3,0.9302325581395349,14.0,2065,1,4
House for sale,East,3.0,5,5,Bhaisepati,Lalitpur,3.0,5.0,0.6,12.0,2075,1,4
House for sale,North-East,3.0,6,5,Imadol,Lalitpur,4.99,5.2,0.9596153846153846,13.0,2079,1,5
House for sale,South,2.5,4,2,Kharibot,Kathmandu,2.45,3.0,0.8166666666666668,16.0,2070,0,5
Bungalow for sale,South-East,4.0,4,5,Bafal,Kathmandu,2.5,4.0,0.625,13.0,2078,1,4
House for sale,South-East,2.5,4,4,Khumaltar,Lalitpur,4.25,4.0,1.0625,20.0,2078,1,4
Bungalow for sale,South-East,2.5,4,5,Bhaisepati,Lalitpur,6.5,6.2,1.0483870967741935,12.0,2077,1,5
House for sale,South-West,2.5,4,5,Bhaisepati,Lalitpur,3.6,4.2,0.8571428571428571,13.0,2077,1,4
House for sale,North-West,3.5,6,6,Khumaltar,Lalitpur,5.8,5.0,1.16,14.0,2078,1,5
Bungalow for sale,South-East,3.5,5,7,Bhaisepati,Lalitpur,2.5,3.2,0.78125,12.0,2078,1,5
House for sale,South-East,3.0,4,4,Bhaisepati,Lalitpur,4.8,5.2,0.923076923076923,16.0,2077,1,3
Bungalow for sale,North-East,2.5,4,5,Bhaisepati,Lalitpur,5.5,5.0,1.1,12.0,2078,1,3
House for sale,South,3.0,5,4,Imadol,Lalitpur,2.95,3.2,0.921875,13.0,2075,1,3
House for sale,North-West,2.5,5,3,Sanepa,Lalitpur,6.35,5.0,1.27,10.0,2078,1,3
House for sale,East,2.5,4,4,Bhaisepati,Lalitpur,6.4,7.0,0.9142857142857144,26.0,2075,1,5
House for sale,North,2.5,3,4,Sunakothi,Lalitpur,3.5,4.0,0.875,20.0,2080,1,2
House for sale,South,2.5,6,5,Kapan,Kathmandu,2.2,3.0,0.7333333333333334,16.0,2078,1,4
House for sale,South,2.5,4,4,Dhobighat,Lalitpur,3.75,3.0,1.25,16.0,2078,1,3
Bungalow for sale,South-East,3.5,6,7,Satdobato,Lalitpur,5.5,4.2,1.3095238095238095,13.0,2077,1,4
House for sale,South,2.5,5,3,Imadol,Lalitpur,3.19,4.1,0.7780487804878049,13.0,2078,1,5
House for sale,West,2.5,4,3,Sitapaila,Kathmandu,2.5,3.0,0.8333333333333334,13.0,2074,1,5
Bungalow for sale,North-West,2.5,5,6,Bhaisepati,Lalitpur,6.25,6.4,0.9765625,13.0,2078,1,4
House for sale,North,2.5,4,4,Hattiban,Lalitpur,2.8,2.2,1.2727272727272725,12.0,2078,1,4
Bungalow for sale,East,2.5,5,5,Imadol,Lalitpur,5.99,7.0,0.8557142857142858,20.0,2078,1,3
House for sale,South,2.5,6,4,Bhaisepati,Lalitpur,4.8,5.0,0.96,25.0,2078,1,4
House for sale,North,3.0,5,3,Imadol,Lalitpur,2.5,3.1,0.8064516129032258,13.0,2076,1,6
House for sale,North-East,2.5,4,5,Bhaisepati,Lalitpur,4.0,4.0,1.0,18.0,2076,1,4
Bungalow for sale,East,2.5,5,3,Nakhipot,Lalitpur,6.0,7.0,0.8571428571428571,13.0,2076,1,5
House for sale,West,2.5,4,4,Imadol,Lalitpur,2.5,3.5,0.7142857142857143,12.0,2071,1,3
House for sale,East,2.0,5,4,Imadol,Lalitpur,2.7,3.3,0.8181818181818182,12.0,2078,1,4
Bungalow for sale,North,2.5,5,4,Gwarko,Lalitpur,2.75,3.0,0.9166666666666666,12.0,2074,1,3
House for sale,North-East,2.5,6,4,Hattiban,Lalitpur,3.25,3.3,0.9848484848484849,15.0,2077,1,4
House for sale,South-West,2.0,5,4,Hattiban,Lalitpur,2.8,3.1,0.9032258064516128,13.0,2078,1,4
House for sale,West,3.0,6,4,Imadol,Lalitpur,3.1,3.2,0.96875,12.0,2078,1,6
House for sale,South,2.5,4,4,Baneshwor,Kathmandu,4.0,5.0,0.8,13.0,2077,1,5
House for sale,North,2.5,3,3,Tokha,Kathmandu,3.5,6.0,0.5833333333333334,15.0,2075,0,3
House for sale,East,2.0,6,5,Imadol,Lalitpur,3.15,5.2,0.6057692307692307,20.0,2078,0,2
House for sale,South,2.5,6,6,Ochu Height,Lalitpur,2.9,3.2,0.9062499999999999,13.0,2077,1,2
House for sale,East,3.0,5,4,Imadol,Lalitpur,4.25,4.2,1.0119047619047619,20.0,2078,1,3
House for sale,South-East,2.0,4,4,Bhaisepati,Lalitpur,4.65,4.0,1.1625,12.0,2074,1,3
Villa for sale,North,2.5,5,4,Bhaisepati,Lalitpur,4.0,4.0,1.0,20.0,2080,1,3
Bungalow for sale,North-East,3.0,6,5,Sanepa,Lalitpur,5.95,5.0,1.19,16.0,2078,1,4
House for sale,East,2.5,4,4,Nakkhu,Lalitpur,3.9,5.0,0.78,13.0,2078,1,3
House for sale,East,3.0,8,3,Setipakha,Lalitpur,3.2,4.0,0.8,13.0,2078,1,8
House for sale,East,3.0,8,3,Setipakha,Lalitpur,3.25,4.0,0.8125,13.0,2077,1,7
House for sale,South,2.5,4,4,Sunakothi,Lalitpur,5.15,7.1,0.7253521126760564,20.0,2074,1,5
House for sale,South,3.5,8,6,Kalanki,Kathmandu,3.5,4.0,0.875,10.0,2075,1,5
Bungalow for sale,East,2.5,4,4,Imadol,Lalitpur,3.25,4.3,0.7558139534883721,20.0,2078,1,6
House for sale,North,2.5,5,6,Bhangal,Kathmandu,3.2,3.1,1.032258064516129,13.0,2074,1,5
House for sale,South,2.5,5,3,Sukedhara,Kathmandu,5.5,5.2,1.0576923076923077,13.0,2075,1,4
House for sale,East,2.5,5,3,Setipakha,Lalitpur,2.3,2.3,1.0,13.0,2074,1,6
House for sale,East,2.0,3,3,Chandragiri,Kathmandu,1.7,3.3,0.5151515151515151,20.0,2078,1,4
House for sale,South,3.5,5,4,Imadol,Lalitpur,2.4,2.3,1.0434782608695652,13.0,2077,1,5
House for sale,South,2.5,4,4,Tikathali,Lalitpur,2.75,4.0,0.6875,13.0,2074,1,5
House for sale,South,2.5,4,3,Tikathali,Lalitpur,2.25,3.2,0.703125,13.0,2074,1,5
House for sale,East,2.5,4,4,Lubhu,Lalitpur,1.8,4.2,0.42857142857142855,13.0,2078,1,5
House for sale,South,2.5,3,3,Imadol,Lalitpur,2.5,3.2,0.78125,14.0,2077,1,5
House for sale,North-East,1.0,1,1,Setipakha,Lalitpur,1.65,3.1,0.532258064516129,13.0,2074,1,6
House for sale,South,2.5,5,5,Bhaisepati,Lalitpur,5.1,6.3,0.8095238095238095,12.0,2078,1,5
House for sale,East,2.5,5,3,Imadol,Lalitpur,5.99,7.0,0.8557142857142858,20.0,2077,1,5
House for sale,East,2.5,4,3,Imadol,Lalitpur,3.25,4.3,0.7558139534883721,20.0,2074,1,6
House for sale,North,2.5,5,5,Bhaisepati,Lalitpur,2.75,3.2,0.859375,13.0,2077,1,5
House for sale,East,1.0,2,1,Sudal,Bhaktapur,1.27,4.0,0.3175,13.0,2074,0,6
Bungalow for sale,South,3.5,6,4,Bhaisepati,Lalitpur,6.1,6.0,1.0166666666666666,18.0,2070,1,7
Bungalow for sale,South,3.5,5,4,Hattiban,Lalitpur,3.69,4.1,0.9,18.0,2079,1,7
Villa for sale,South,2.0,5,5,Budhanilkantha,Kathmandu,3.2,4.0,0.8,14.0,2079,1,6
